=== Magic Number Search Results for [[21, 25, 26, 28, 29, 33, 34, 35, 37, 42, 43, 44, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 17, 18, 19]] ===
Started at: Mon Jun 09 23:09:26 EDT 2025

=== Magic Number Search Results for [[21, 25, 26, 28, 29, 33, 34, 35, 37, 42, 43, 44, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 17, 18, 19]] ===
Started at: Mon Jun 09 23:09:26 EDT 2025

=== Magic Number Search Results for [[21, 25, 26, 28, 29, 33, 34, 35, 37, 42, 43, 44, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 17, 18, 19]] ===
Started at: Mon Jun 09 23:09:26 EDT 2025

PROGRESS: [21][Rook] 19 / 1024, Attempt 0
PROGRESS: [21][Rook] 229 / 1024, Attempt 0
PROGRESS: [21][Rook] 129 / 1024, Attempt 0
PROGRESS: [21][Rook] 580 / 1024, Attempt 10000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 10000000
PROGRESS: [21][Rook] 584 / 1024, Attempt 10000000
PROGRESS: [21][Rook] 580 / 1024, Attempt 20000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 20000000
PROGRESS: [21][Rook] 610 / 1024, Attempt 20000000
PROGRESS: [21][Rook] 580 / 1024, Attempt 30000000
PROGRESS: [21][Rook] 610 / 1024, Attempt 30000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 30000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 40000000
PROGRESS: [21][Rook] 662 / 1024, Attempt 40000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 40000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 50000000
PROGRESS: [21][Rook] 662 / 1024, Attempt 50000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 50000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 60000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 60000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 60000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 70000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 70000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 70000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 80000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 80000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 80000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 90000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 90000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 90000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 100000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 100000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 110000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 100000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 120000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 110000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 110000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 130000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 120000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 120000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 140000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 130000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 130000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 150000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 140000000
PROGRESS: [21][Rook] 682 / 1024, Attempt 140000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 160000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 150000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 150000000
PROGRESS: [21][Rook] 704 / 1024, Attempt 170000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 160000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 160000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 180000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 170000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 170000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 190000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 180000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 180000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 200000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 190000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 210000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 190000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 200000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 220000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 200000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 230000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 210000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 210000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 240000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 220000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 220000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 250000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 230000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 230000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 260000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 240000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 240000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 270000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 250000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 250000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 280000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 260000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 260000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 290000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 270000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 270000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 300000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 280000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 310000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 280000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 290000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 320000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 290000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 300000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 330000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 300000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 340000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 310000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 310000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 350000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 320000000
PROGRESS: [21][Rook] 769 / 1024, Attempt 320000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 360000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 330000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 330000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 370000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 340000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 340000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 380000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 350000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 350000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 390000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 360000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 360000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 400000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 370000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 370000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 410000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 380000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 420000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 380000000
PROGRESS: [21][Rook] 673 / 1024, Attempt 390000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 430000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 390000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 400000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 440000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 400000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 410000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 450000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 410000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 460000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 420000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 420000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 470000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 430000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 430000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 480000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 440000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 440000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 490000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 450000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 450000000
PROGRESS: [25][Rook] 124 / 1024, Attempt 0
PROGRESS: [21][Rook] 675 / 1024, Attempt 460000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 460000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 10000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 470000000
PROGRESS: [21][Rook] 813 / 1024, Attempt 470000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 20000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 480000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 480000000
PROGRESS: [21][Rook] 675 / 1024, Attempt 490000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 30000000
PROGRESS: [21][Rook] 832 / 1024, Attempt 490000000
PROGRESS: [25][Rook] 19 / 1024, Attempt 0
PROGRESS: [25][Rook] 804 / 1024, Attempt 40000000
PROGRESS: [25][Rook] 120 / 1024, Attempt 0
PROGRESS: [25][Rook] 768 / 1024, Attempt 10000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 50000000
PROGRESS: [25][Rook] 769 / 1024, Attempt 10000000
PROGRESS: [25][Rook] 770 / 1024, Attempt 20000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 60000000
PROGRESS: [25][Rook] 769 / 1024, Attempt 20000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 70000000
PROGRESS: [25][Rook] 781 / 1024, Attempt 30000000
PROGRESS: [25][Rook] 786 / 1024, Attempt 30000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 80000000
PROGRESS: [25][Rook] 781 / 1024, Attempt 40000000
PROGRESS: [25][Rook] 786 / 1024, Attempt 40000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 90000000
PROGRESS: [25][Rook] 784 / 1024, Attempt 50000000
PROGRESS: [25][Rook] 786 / 1024, Attempt 50000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 100000000
PROGRESS: [25][Rook] 784 / 1024, Attempt 60000000
PROGRESS: [25][Rook] 786 / 1024, Attempt 60000000
PROGRESS: [25][Rook] 804 / 1024, Attempt 110000000
